CFL,CPU,LC,PRJ,PRT,MFD,OCC,Energy,Error
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,320,83,9.0916
2,0,1,0,0,0,263,86,3.8144
0,1,0,0,0,0,2649,67,3.5942
1,0,1,0,0,0,1909,70,5.8331
0,0,1,0,0,0,11,54,2.4294
