CFL,CPU,LC,PRJ,PRT,MFD,OCC,Energy,Error
0,0,0,0,0,0,138,0,100
1,1,0,0,0,0,277,83,9.0764
2,0,1,0,0,0,263,86,3.8144
1,0,1,0,0,0,1918,70,5.8331
0,0,1,0,0,0,11,54,2.4294
0,1,0,0,0,0,2080,67,4.5008
